section,indice,categorie,phase,journée,date/heure,date_confirmee,domicile,extérieur,score,gymnase,ville,lien,adresse_complete
Entente Lyon Est Handball (F),,M16,P1,Amical,samedi 29 août 2026 à 15H00,True,Mendes,M16F EXC - ENTENTE LYON EST HANDBALL,,,Blavozy,,
Entente Lyon Est Handball (F),,M16,P1,Amical,samedi 29 août 2026 à 16H00,True,M16F EXC - ENTENTE LYON EST HANDBALL,Saint-Germain Blavozy Handball,,,Blavozy,,
Entente Lyon Est Handball (F),,M16,P1,1,12 septembre 2026 au 13 septembre 2026,False,M16F EXC - ENTENTE LYON EST HANDBALL,M16F EXC - ENTENTE POISY - ANNECY,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/rencontre-2654273/,
Entente Lyon Est Handball (F),,M16,P1,2,19 septembre 2026 au 20 septembre 2026,False,CHAMBÉRY LA MOTTE SERVOLEX SAVOIE HANDBALL,M16F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/rencontre-2654274/,
Entente Lyon Est Handball (F),,M16,P1,3,3 octobre 2026 au 4 octobre 2026,False,ANNECY CSAV HANDBALL,M16F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/rencontre-2654279/,
Entente Lyon Est Handball (F),,M16,P1,4,10 octobre 2026 au 11 octobre 2026,False,M16F EXC - ENTENTE LYON EST HANDBALL,M16F EXC - LYON OUEST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/rencontre-2654280/,
Entente Lyon Est Handball (F),,M16,P1,5,17 octobre 2026 au 18 octobre 2026,False,M16F EXC - ENTENTE MEXIMIEUX MONTLUEL,M16F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/rencontre-2654284/,
Entente Lyon Est Handball (F),,M16,P1,6,7 novembre 2026 au 8 novembre 2026,False,M16F EXC - ENTENTE POISY - ANNECY,M16F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/rencontre-2654288/,
Entente Lyon Est Handball (F),,M16,P1,7,14 novembre 2026 au 15 novembre 2026,False,M16F EXC - ENTENTE LYON EST HANDBALL,CHAMBÉRY LA MOTTE SERVOLEX SAVOIE HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/rencontre-2654289/,
Entente Lyon Est Handball (F),,M16,P1,8,21 novembre 2026 au 21 novembre 2026,False,M16F EXC - ENTENTE LYON EST HANDBALL,ANNECY CSAV HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/rencontre-2654294/,
Entente Lyon Est Handball (F),,M16,P1,9,28 novembre 2026 au 29 novembre 2026,False,M16F EXC - LYON OUEST HANDBALL,M16F EXC - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/rencontre-2654295/,
