section,indice,categorie,phase,Pos.,Club,Points
Entente Lyon Est Handball (F),,M16,P1,1,ANNECY CSAV HANDBALL,0
Entente Lyon Est Handball (F),,M16,P1,2,CHAMBÉRY LA MOTTE SERVOLEX SAVOIE HANDBALL,0
Entente Lyon Est Handball (F),,M16,P1,3,M16F EXC - ENTENTE LYON EST HANDBALL,0
Entente Lyon Est Handball (F),,M16,P1,4,M16F EXC - LYON OUEST HANDBALL,0
Entente Lyon Est Handball (F),,M16,P1,5,M16F EXC - ENTENTE MEXIMIEUX MONTLUEL,0
Entente Lyon Est Handball (F),,M16,P1,6,M16F EXC - ENTENTE POISY - ANNECY,0
Entente Lyon Est Handball (F),A,Seniors,P1,1,ST GENIS LAVAL AL HANDBALL 2,0
Entente Lyon Est Handball (F),A,Seniors,P1,2,ASUL VAULX EN VELIN,0
Entente Lyon Est Handball (F),A,Seniors,P1,3,HANDBALL CLERMONT AUVERGNE METROPOLE 63,0
Entente Lyon Est Handball (F),A,Seniors,P1,4,HANDBALL CLUB DE LYON,0
Entente Lyon Est Handball (F),A,Seniors,P1,5,HBC LANGEAC,0
Entente Lyon Est Handball (F),A,Seniors,P1,6,ST CHAMOND HANDBALL PAYS DU GIER 2,0
Entente Lyon Est Handball (F),A,Seniors,P1,7,AMBERIEU HBC,0
Entente Lyon Est Handball (F),A,Seniors,P1,8,ST PRIEST HANDBALL,0
Entente Lyon Est Handball (F),A,Seniors,P1,9,ST LAURENT DE CHAMOUSSET HBC,0
Entente Lyon Est Handball (F),A,Seniors,P1,10,BLANZAT SPORT MONTLUCON,0
Entente Lyon Est Handball (F),A,Seniors,P1,11,AS LYON CALUIRE,0
Entente Lyon Est Handball (F),A,Seniors,P1,12,SAINT-FLOUR HANDBALL,0
Entente Lyon Est Handball (F),B,Seniors,P1,1,P16F PNF - ENTENTE BRON VILLEURBANNE,0
Entente Lyon Est Handball (F),B,Seniors,P1,2,P16F PNF - ENTENTE LYON EST HANDBALL,0
Entente Lyon Est Handball (F),B,Seniors,P1,3,P16F PNF - ENTENTE MEXIMIEUX MONTLUEL,0
Entente Lyon Est Handball (F),B,Seniors,P1,4,SAINT GENIX - AOSTE HB,0
Entente Lyon Est Handball (F),B,Seniors,P1,5,P16F PNF - PORTE DE L'ISERE,0
Entente Lyon Est Handball (F),B,Seniors,P1,6,HANDBALL CLUB BOURGETAIN,0
Entente Lyon Est Handball (F),B,Seniors,P1,7,BELLEY HBC,0
Entente Lyon Est Handball (F),B,Seniors,P1,8,CS MORESTEL HANDBALL,0
Entente Est Lyonnais (G),CF,M18,P1,1,U.S. CRAUROISE HANDBALL,0
Entente Est Lyonnais (G),CF,M18,P1,2,UODL HANDBALL,0
Entente Est Lyonnais (G),CF,M18,P1,3,ISTRES PROVENCE HANDBALL,0
Entente Est Lyonnais (G),CF,M18,P1,4,ST PRIEST HANDBALL,0
Entente Est Lyonnais (G),CF,M18,P1,5,ESTEREL ST RAPHAEL VAR HB (U18M ELITE),0
Entente Est Lyonnais (G),CF,M18,P1,6,MONTELIMAR CLUB HANDBALL,0
Entente Lyon Est Handball (F),A,M18,P1,1,MERMOZ F18,0
Entente Lyon Est Handball (F),A,M18,P1,2,M18F EXC - ENTENTE BRON VAULX EN VELIN VILLEURBANNE,0
Entente Lyon Est Handball (F),A,M18,P1,3,UODL HB,0
Entente Lyon Est Handball (F),A,M18,P1,4,IDA U18F,0
Entente Lyon Est Handball (F),A,M18,P1,5,PORTE DE L'ISÈRE,0
Entente Lyon Est Handball (F),A,M18,P1,6,M18F EXC - ENTENTE LYON EST HANDBALL - 1,0
